species,total_crops,unique_birds_approx,duplicate_crops,duplication_rate_pct,max_cluster_size,birds_with_duplicates
AMAV,4,3,1,25.0,2,1
AMOY,2,2,0,0.0,1,0
AWPE,20,19,1,5.0,2,1
BCNH,1119,833,286,25.6,6,223
BEKI,2,2,0,0.0,1,0
BLSK,1675,1054,621,37.1,13,364
BNST,5,5,0,0.0,1,0
BRPE,3487,3116,371,10.6,4,336
BRPEC,411,380,31,7.5,2,31
CAEG,1123,636,487,43.4,12,296
DCCO,2,1,1,50.0,2,1
GBHE,1525,1272,253,16.6,6,213
GREG,545,502,43,7.9,6,34
GREGC,92,88,4,4.3,2,4
LAGU,11205,9227,1978,17.7,7,1530
MEGRT,467,434,33,7.1,3,31
MTRN,62064,30786,31278,50.4,35,16755
OSPR,1,1,0,0.0,1,0
OTHR,252,215,37,14.7,4,33
RBGU,2,2,0,0.0,1,0
REEG,1581,1264,317,20.1,6,251
REEGWM,320,241,79,24.7,6,62
ROSP,1003,756,247,24.6,6,187
ROTE,6325,3929,2396,37.9,10,1658
RUTU,37,32,5,13.5,2,5
SATE,653,371,282,43.2,4,181
SNEG,208,151,57,27.4,4,48
TCHE,55,53,2,3.6,2,2
TRHE,1250,1027,223,17.8,4,193
TUVU,1,1,0,0.0,1,0
WHIB,2403,1579,824,34.3,7,587
WHIBC,151,97,54,35.8,3,44
WHIBJ,6,5,1,16.7,2,1
TOTAL,97996,58084,39912,40.7,,
