RunName,LogFile,Model,Epochs,LR,WeightDecay,AccumSteps,BestValAcc,ValMacroF1,ValMAP,TestMacroF1,TestMAP
swin_mpc100_ep10_lr0100_wd0100_as1,run_ep10_lr0.0001_wd0.01_mpc100_as1_20251112-173709.log,swin_tiny_patch4_window7_224,10,0.0001,0.01,1,0.839,0.836,0.893,0.831,0.9
swin_mpc200_ep10_lr0100_wd0100_as1,run_ep10_lr0.0001_wd0.01_mpc200_as1_20251112-173918.log,swin_tiny_patch4_window7_224,10,0.0001,0.01,1,0.877,0.869,0.923,0.879,0.916
swin_mpc500_ep10_lr0100_wd0100_as1,run_ep10_lr0.0001_wd0.01_mpc500_as1_20251112-174210.log,swin_tiny_patch4_window7_224,10,0.0001,0.01,1,0.918,0.89,0.949,0.893,0.942
swin_mpc50_ep10_lr0100_wd0100_as1,run_ep10_lr0.0001_wd0.01_mpc50_as1_20251112-173522.log,swin_tiny_patch4_window7_224,10,0.0001,0.01,1,0.829,0.823,0.877,0.813,0.898
swin_mpc100_ep10_lr0100_wd0300_as1,run_ep10_lr0.0001_wd0.03_mpc100_as1_20251112-174824.log,swin_tiny_patch4_window7_224,10,0.0001,0.03,1,0.858,0.855,0.92,0.847,0.91
swin_mpc200_ep10_lr0100_wd0300_as1,run_ep10_lr0.0001_wd0.03_mpc200_as1_20251112-175034.log,swin_tiny_patch4_window7_224,10,0.0001,0.03,1,0.874,0.863,0.924,0.866,0.924
swin_mpc500_ep10_lr0100_wd0300_as1,run_ep10_lr0.0001_wd0.03_mpc500_as1_20251112-175325.log,swin_tiny_patch4_window7_224,10,0.0001,0.03,1,0.921,0.885,0.938,0.902,0.947
swin_mpc50_ep10_lr0100_wd0300_as1,run_ep10_lr0.0001_wd0.03_mpc50_as1_20251112-174637.log,swin_tiny_patch4_window7_224,10,0.0001,0.03,1,0.8,0.791,0.853,0.753,0.877
swin_mpc100_ep10_lr0300_wd0100_as1,run_ep10_lr0.0003_wd0.01_mpc100_as1_20251112-171436.log,swin_tiny_patch4_window7_224,10,0.0003,0.01,1,0.851,0.849,0.896,0.775,0.851
swin_mpc200_ep10_lr0300_wd0100_as1,run_ep10_lr0.0003_wd0.01_mpc200_as1_20251112-171646.log,swin_tiny_patch4_window7_224,10,0.0003,0.01,1,0.878,0.867,0.917,0.874,0.922
swin_mpc500_ep10_lr0300_wd0100_as1,run_ep10_lr0.0003_wd0.01_mpc500_as1_20251112-171939.log,swin_tiny_patch4_window7_224,10,0.0003,0.01,1,0.902,0.867,0.935,0.889,0.947
